name,orbital_period,mass,radius,star_temperature,density
Kepler-75 b,8.8849116,3209.78,11.769345,5200.0,11.0
Kepler-76 b,1.5449298,638.7779999999999,15.244104,6409.0,1.1
Kepler-77 b,3.57878087,136.654,10.760544,5520.0,0.603
Kepler-78 b,0.355,1.9068,1.1769345,5058.0,5.57
Kepler-79 b,13.4845,10.90054,3.474759,6174.0,1.43
Kepler-79 c,27.4029,6.0382,3.7213548000000003,6174.0,0.62
Kepler-79 d,52.0902,6.0382,7.1624871,6174.0,0.09
Kepler-79 e,81.0659,4.1314,3.4859679,6174.0,0.53
Kepler-8 b,3.5224991,187.502,15.871802399999998,6213.0,0.27
Kepler-80 b,7.05246,6.92804,2.6677182,4540.0,1.38
Kepler-80 c,9.52355,6.740538,2.7349715999999997,4540.0,1.22
Kepler-80 d,3.07222,6.750071999999999,1.5244104,4540.0,7.04
Kepler-80 e,4.64489,4.128222,1.6028726999999998,4540.0,3.75
Kepler-87 b,114.73635,324.156,13.4955156,5600.0,0.729
Kepler-87 c,191.2318,6.356000000000001,6.1424772,5600.0,0.152
Kepler-9 b,19.24,80.0856,9.4378938,5777.0,0.524
Kepler-9 c,38.91,54.34380000000001,9.224924699999999,5777.0,0.383
Kepler-91 b,6.24658,257.418,15.3225663,4550.0,0.4
Kepler-92 b,13.749,64.19560000000001,3.5083857,5883.0,
Kepler-92 c,26.723,6.0382,2.6004648,5883.0,
Kepler-93 b,4.72673978,4.02017,1.4795748,5669.0,6.88
Kepler-94 b,2.50806,10.805200000000001,3.5083857,4781.0,1.45
Kepler-95 b,11.5231,13.029800000000002,3.4187145,5699.0,1.71
Kepler-96 b,16.2385,8.5806,2.6677182,5690.0,2.26
Kepler-97 b,2.58664,3.4958,1.4795748,5779.0,5.44
Kepler-98 b,1.54168,3.4958,1.9951842,5539.0,2.18
Kepler-99 b,4.60358,6.0382,1.4795748,4782.0,10.9
Lupus-TR-3 b,3.91405,257.418,9.975921,5000.0,1.4
OGLE-TR-056 b,1.2119189,441.74199999999996,15.2777307,6050.0,0.68
OGLE-TR-10 b,3.101278,197.036,14.011125,5950.0,0.4
OGLE-TR-113 b,1.4324752,400.428,12.2513277,4790.0,1.2
OGLE-TR-132 b,1.689868,375.004,13.45068,6210.0,0.85
OGLE-TR-182 b,3.9791,320.978,12.666056999999999,5924.0,
OGLE-TR-211 b,3.67724,327.334,15.244104,6325.0,
OGLE2-TR-L9 b,2.4855335,1430.1000000000001,18.046329,6933.0,
PH1 b,138.317,168.7518,6.1761039,6407.0,
POTS-1 b,3.1606296,734.118,10.547574899999999,4400.0,
Qatar-1 b,1.4200242,411.2332,12.8117727,5013.0,1.076
Qatar-2 b,1.33711647,792.5932000000001,14.0559606,4645.0,1.573
TrES-1 b,3.030065,238.9856,11.959896299999999,5230.0,0.769
TrES-2 b,2.47061317,380.4066,13.9774983,5850.0,0.8
TrES-3 b,1.30618581,606.998,14.975090400000001,5650.0,0.994
TrES-4 b,3.55392771,156.9932,20.601958200000002,6295.0,0.099
TrES-5 b,1.48224686,568.8620000000001,13.3834266,5171.0,1.31
WASP-10 b,3.0927616,1001.07,12.105612,4675.0,4.14
WASP-100 b,2.849375,645.134,18.943041,6900.0,0.53
WASP-101 b,3.585722,158.9,15.804549,6400.0,0.24
WASP-103 b,0.925542,473.522,17.1271992,6110.0,0.55
WASP-104 b,1.7554137,404.2416,12.7445193,5475.0,1.074
WASP-106 b,9.289715,611.765,12.1616565,6055.0,1.86
WASP-11 b,3.7224747,154.7686,11.264944499999999,4980.0,0.594
WASP-113 b,4.54216875,150.955,15.7933401,5890.0,0.228
WASP-114 b,1.5487743,562.1881999999999,15.0087171,5940.0,0.97
WASP-117 b,10.02165,87.55390000000001,11.444286899999998,6038.0,0.3445
